Nro;Coordinación Zonal;Provincia;Cantón;Agencia / Punto de Atención;Dirección Completa;LATITUD;LONGITUD;Enlace Google Maps;Responsable de la Agencia;Teléfono de Contacto;Observaciones
1;ZONA 6;AZUAY;CAMILO PONCE ENRÍQUEZ;CAMILO PONCE ENRÍQUEZ;Calle 8 de Septiembre , Barrio 7 de Abril, Centro Comercial Municipal ;-3.062573;-79.74273;https://maps.app.goo.gl/2f2j4pHaiQm5sQfL7;Mariana Ochoa;37011190 Ext. 01406;NINGUNA
2;ZONA 6;AZUAY;CUENCA;BELLAVISTA;EDIFICIO ARCOTEL, LUIS CORDERO Y HÉROES DE VERDELOMA;-2.889357082;-79.00231665;https://maps.app.goo.gl/2f2j4pHaiQm5sQfL7;EDISSON NARVAEZ;37011190 Ext. 01416;NINGUNA
3;ZONA 6;AZUAY;CUENCA;EL BATÁN;MEXICO Y UNIDAD NACIONAL;-2.904732265;-79.02694612;https://maps.app.goo.gl/2f2j4pHaiQm5sQfL7; Econ Sara Lopez ;37011190 Ext. 01428;NINGUNA
4;ZONA 6;AZUAY;CUENCA;SAN BLÁS (CUENCA);Calle Pasaje Alfonso Jerves entre Alfonso Jerves y Alfonso Malo;-2.903266963;-78.99968032;https://maps.app.goo.gl/2f2j4pHaiQm5sQfL7;Ing. Paola Pinos ;3701190. Ext.01431;NINGUNA
5;ZONA 6;AZUAY;GIRÓN;GIRÓN;CALLE ANTONIO FLOR Y GARCIA MORENO ;-3.036883716;-79.14783113;https://www.google.com/maps/place/Registro+civil,+Gir%C3%B3n,+Azuay/@-3.1606392,-79.1493972,17z/data=!3m1!4b1!4m6!3m5!1s0x91ccdb30f54fcf11:0x50b67869b8349fd0!8m2!3d-3.1606446!4d-79.1468223!16s%2Fg%2F11q93fbl9k?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;CECILIA JIMENEZ;3701190. Ext.01411;NINGUNA
6;ZONA 6;AZUAY;GUALACEO;GUALACEO;AV. LOS NOGALES Y GRANADILLAS;-2.894414269;-78.77212798;https://maps.app.goo.gl/2f2j4pHaiQm5sQfL7;ADRIAN PELÁEZ;37011190 Ext 01422;NINGUNA
7;ZONA 6;AZUAY;NABÓN;NABÓN;COLISEO DE NABÓN;-3.337076;-79.066955;https://maps.app.goo.gl/2f2j4pHaiQm5sQfL7;ANA JARAMILLO;37011190 Ext 01407;CONVENIO POR REGULARIZAR
8;ZONA 6;AZUAY;OÑA;OÑA;ESTEBAN MORALES Y 27 DE FEBRERO;-3.47002;-79.15462;https://maps.app.goo.gl/oiG1bkzY9FABUiH17?g_st=ac;David Ochoa ;984714119;NINGUNA
9;ZONA 6;AZUAY;PAUTE;PAUTE;AV. LUIS ENRIQUE VASQUEZ Y AV. JOSE VICTOR IZQUIERDO;-2.9034092;-78.9996276;https://maps.google.com/?q=-2,77849,-78.75608;ANDREA TORRES AMÓN;37011190 Ext 01313;NINGUNA
10;ZONA 6;AZUAY;PUCARÁ;PUCARÁ;25 DE JULIO Y ANTIGUA MUNICIPALIDAD;-3.218511344;-79.4675738;https://maps.google.com/?q=-2,77849,-78.75608;ANGÉLICA BARZALLO;959663134;NINGUNA
11;ZONA 6;AZUAY;SANTA ISABEL;SANTA ISABEL;TOMEBAMBA Y 24 DE MAYO;-3.273701906;-79.31440735;https://maps.google.com/?q=-2,77849,-78.75608;FRANKLIN MAURICIO CAMPOS JUCA;37011190 Ext 01410;NINGUNA
12;ZONA 6;AZUAY;SÍGSIG;SIGSIG;DAVILA ENTRE CORRAL Y 16 DE ABRIL;-3.0507274;-78.7954175;https://www.google.com/maps/place/16+de+Abril+%26+Gonzales+Suarez,+Sigsig/@-3.0500008,-78.7976254,17.5z/data=!4m6!3m5!1s0x91ccfd77a60a5129:0x5d299cc401580230!8m2!3d-3.050378!4d-78.7954558!16s%2Fg%2F11gf2f9j1b?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D;MERCEDES ANDREA RAMOS TELLO;37011190 Ext 01412;NINGUNA
13;ZONA 6;CAÑAR;AZOGUES;AZOGUES;FRAY VICENTE SOLANO S/N Y MATOVELLE;-2.738508996;-78.84722;https://mapcarta.com/es/N4304939290 ;Walter Daniel Padron Coello;3701190. Ext. 03300;NINGUNA
14;ZONA 6;CAÑAR;BIBLIÁN;BIBLIÁN;CALLE MARISCAL SUCRE Y CALLE CAÑAR ;-2.714722;-78.887946;https://maps.app.goo.gl/T7LYdLD8AXdLMF8V6;Norly Ghislaine Franco Calle;3701190. Ext. 03501;NINGUNA
